,name,repo,owner,link
0,awesome-python-security,awesome-python-security,guardrailsio,"https://github.com/guardrailsio/awesome-python-security.git
"
1,Awesome-Mobile-Machine-Learning,Awesome-Mobile-Machine-Learning,fritzlabs,"https://github.com/fritzlabs/Awesome-Mobile-Machine-Learning.git
"
2,Awesome-Microservices-NetCore,Awesome-Microservices-NetCore,mjebrahimi,"https://github.com/mjebrahimi/Awesome-Microservices-NetCore.git
"
3,awesome-github-extensions,awesome-github-extensions,xhacker,"https://github.com/xhacker/awesome-github-extensions.git
"
4,awesome-video,awesome-video,krzemienski,"https://github.com/krzemienski/awesome-video.git
"
5,awesome-functional-python,awesome-functional-python,sfermigier,"https://github.com/sfermigier/awesome-functional-python.git
"
6,awesome-python-projects,awesome-python-projects,garimasingh128,"https://github.com/garimasingh128/awesome-python-projects.git
"
7,awesome-nextjs,awesome-nextjs,unicodeveloper,"https://github.com/unicodeveloper/awesome-nextjs.git
"
8,pyspark-cassandra,pyspark-cassandra,anguenot,"https://github.com/anguenot/pyspark-cassandra.git
"
9,pyheat,pyheat,csurfer,"https://github.com/csurfer/pyheat.git
"
10,awesome-machine-learning-papers,awesome-machine-learning-papers,solaris33,"https://github.com/solaris33/awesome-machine-learning-papers.git
"
11,data-science-stack-cookiecutter,data-science-stack-cookiecutter,jgoerner,"https://github.com/jgoerner/data-science-stack-cookiecutter.git
"
12,awesome-audio,awesome-audio,DolbyIO,"https://github.com/DolbyIO/awesome-audio.git
"
13,awesome-computer-history,awesome-computer-history,watson,"https://github.com/watson/awesome-computer-history.git
"
14,python-mpv,python-mpv,jaseg,"https://github.com/jaseg/python-mpv.git
"
15,awesome-python-talks,awesome-python-talks,jhermann,"https://github.com/jhermann/awesome-python-talks.git
"
16,jedi,jedi,davidhalter,"https://github.com/davidhalter/jedi.git
"
17,awesome-atmos,awesome-atmos,MeteoAI,"https://github.com/MeteoAI/awesome-atmos.git
"
18,awesome-python-blogs,awesome-python-blogs,mikeyny,"https://github.com/mikeyny/awesome-python-blogs.git
"
19,awesome-AI-kubernetes,awesome-AI-kubernetes,CognonicLabs,"https://github.com/CognonicLabs/awesome-AI-kubernetes.git
"
20,awesome-python-bytes,awesome-python-bytes,JackMcKew,"https://github.com/JackMcKew/awesome-python-bytes.git
"
21,awesome-acg-machine-learning,awesome-acg-machine-learning,dimpurr,"https://github.com/dimpurr/awesome-acg-machine-learning.git
"
22,awesome-terraform,awesome-terraform,Azure,"https://github.com/Azure/awesome-terraform.git
"
23,Awesome-Python-Scripts,Awesome-Python-Scripts,hastagAB,"https://github.com/hastagAB/Awesome-Python-Scripts.git
"
24,bashoneliners,bashoneliners,janosgyerik,"https://github.com/janosgyerik/bashoneliners.git
"
25,Awesome-Deep-Reinforcement-Learning-Papers-for-Search-Recommendation-Advertising,Awesome-Deep-Reinforcement-Learning-Papers-for-Search-Recommendation-Advertising,guyulongcs,"https://github.com/guyulongcs/Awesome-Deep-Reinforcement-Learning-Papers-for-Search-Recommendation-Advertising.git
"
26,awesome,awesome,shenwei356,"https://github.com/shenwei356/awesome.git
"
27,awesome-video-object-detection,awesome-video-object-detection,ZHANGHeng19931123,"https://github.com/ZHANGHeng19931123/awesome-video-object-detection.git
"
28,awesome-feather,awesome-feather,adafruit,"https://github.com/adafruit/awesome-feather.git
"
29,awesome-ember,awesome-ember,ember-community-russia,"https://github.com/ember-community-russia/awesome-ember.git
"
30,awesome-sphinxdoc,awesome-sphinxdoc,yoloseem,"https://github.com/yoloseem/awesome-sphinxdoc.git
"
31,Awesome-Azure-Advanced-Analytics,Awesome-Azure-Advanced-Analytics,dem108,"https://github.com/dem108/Awesome-Azure-Advanced-Analytics.git
"
32,awesome-jvm,awesome-jvm,deephacks,"https://github.com/deephacks/awesome-jvm.git
"
33,awesome-deep-learning,awesome-deep-learning,ChristosChristofidis,"https://github.com/ChristosChristofidis/awesome-deep-learning.git
"
34,parsy,parsy,python-parsy,"https://github.com/python-parsy/parsy.git
"
35,awesome-programming-books,awesome-programming-books,zero-equals-false,"https://github.com/zero-equals-false/awesome-programming-books.git
"
36,awesome-create-react-app,awesome-create-react-app,tuchk4,"https://github.com/tuchk4/awesome-create-react-app.git
"
37,awesome-arm-exploitation,awesome-arm-exploitation,HenryHoggard,"https://github.com/HenryHoggard/awesome-arm-exploitation.git
"
38,covid19-dashboard,covid19-dashboard,BrianRuizy,"https://github.com/BrianRuizy/covid19-dashboard.git
"
39,Matterport,Matterport,niessner,"https://github.com/niessner/Matterport.git
"
40,awesome-ml-courses,awesome-ml-courses,luspr,"https://github.com/luspr/awesome-ml-courses.git
"
41,Artificial-Intelligence,Artificial-Intelligence,Niraj-Lunavat,"https://github.com/Niraj-Lunavat/Artificial-Intelligence.git
"
42,ptop,ptop,darxtrix,"https://github.com/darxtrix/ptop.git
"
43,awesome-pokemon,awesome-pokemon,tobiasbueschel,"https://github.com/tobiasbueschel/awesome-pokemon.git
"
44,AwesomeComputerVision,AwesomeComputerVision,zhengzhugithub,"https://github.com/zhengzhugithub/AwesomeComputerVision.git
"
